"faculty_id";"first_name";"last_name";"email";"password";"degree";"qualification";"expertise_sub";"designation"
1;"Shafaat";"Bazaz";"dean.scit@bnu.edu.pk";"Shafbaz1";"Information Systems";"PhD";"Computer Architecture";"Dean"
2;"Shahid";"Iqbal";"shahid.iqbal@bnu.edu.pk";"Shahiqba2!";"Data Science";"PhD";"Database Systems";"HOD"
3;"Rashid";"Hassan";"rashid.hassan@bnu.edu.pk";"Rashhas3";"Data Science";"BS";"Machine Learning";"HOD"
4;"Nazia";"Hassan";"nazia.hassan@bnu.edu.pk";"Nazhasa4$";"Computer Science";"MSc";"Computer Networks";"Professor"
5;"Fahad";"Khan";"fahad.khan@bnu.edu.pk";"Fahkha5";"Data Science";"MPhil";"Data Science";"Professor"
6;"Shahid";"Zaman";"shahid.zaman@bnu.edu.pk";"Shazama6";"Mathematics";"BS";"Multivariable Calculus";"Professor"
7;"Shahid";"Ali";"shahid.ali@bnu.edu.pk";"Shaali7!";"Data Science";"BS";"Database Systems";"Professor"
8;"Saima";"Butt";"saima.butt@bnu.edu.pk";"Saimbut8";"Computer Science";"MSc";"Programming Languages";"Professor"
9;"Yasir";"Chaudhry";"yasir.chaudhry@bnu.edu.pk";"Yaschau9";"Information Systems";"BS";"Artificial Intelligence";"Lecturer"
10;"Hira";"Rana";"hira.rana@bnu.edu.pk";"Hirrana10";"Computer Science";"PhD";"Computer Networks";"Lecturer"
11;"Shahid";"Zaman";"shahid.zaman@bnu.edu.pk";"Shazama11!";"Computer Science";"MSc";"Artificial Intelligence";"Lecturer"
12;"Yasir";"Rana";"yasir.rana@bnu.edu.pk";"Yasrana12";"Computer Science";"MS";"Cybersecurity";"Lecturer"
13;"Asim";"Qureshi";"asim.qureshi@bnu.edu.pk";"Asiqure13";"Information Technology";"MPhil";"Web Development";"Lecturer"
14;"Kiran";"Iqbal";"kiran.iqbal@bnu.edu.pk";"Kiraiqb14!";"Computer Science";"MS";"Programming Languages";"Lecturer"
15;"Asim";"Tariq";"asim.tariq@bnu.edu.pk";"Asitari15";"Computer Science";"PhD";"Cybersecurity";"Lecturer"
16;"Adeel";"Chaudhry";"adeel.chaudhry@bnu.edu.pk";"Adechau16";"Computer Science";"MSc";"Web Development";"Lecturer"
17;"Asim";"Hassan";"asim.hassan@bnu.edu.pk";"Asihass17";"Data Science";"MSc";"Database Systems";"Lecturer"
18;"Asim";"Ali";"asim.ali@bnu.edu.pk";"Asiali18$";"Data Science";"MSc";"Machine Learning";"Lecturer"
19;"Imran";"Chaudhry";"imran.chaudhry@bnu.edu.pk";"Imrchau19";"Computer Science";"BS";"Web Development";"Lab Attender"
20;"Yasir";"Iqbal";"yasir.iqbal@bnu.edu.pk";"Yasiqba20";"Data Science";"MPhil";"Machine Learning";"Lab Attender"
21;"Zubair";"Qureshi";"zubair.qureshi@bnu.edu.pk";"Zubqure21!";"Information Systems";"PhD";"Computer Networks";"Lab Attender"
22;"Ayesha";"Khan";"ayesha.khan@bnu.edu.pk";"Ayekhan22";"Computer Science";"PhD";"Data Structures";"Professor"
23;"Bilal";"Ahmed";"bilal.ahmed@bnu.edu.pk";"Bilaahm23$";"Software Engineering";"PhD";"Software Testing";"Professor"
24;"Farhan";"Malik";"farhan.malik@bnu.edu.pk";"Farma24";"Information Technology";"MPhil";"Cloud Computing";"Lecturer"
25;"Ghazala";"Riaz";"ghazala.riaz@bnu.edu.pk";"Ghariaz25";"Computer Science";"PhD";"Computer Graphics";"Professor"
26;"Hammad";"Shah";"hammad.shah@bnu.edu.pk";"Hamshah26";"Data Science";"MS";"Big Data Analytics";"Lecturer"
27;"Iqra";"Naz";"iqra.naz@bnu.edu.pk";"Iqranaz27!";"Computer Science";"PhD";"Human-Computer Interaction";"Professor"
28;"Junaid";"Akram";"junaid.akram@bnu.edu.pk";"Junakra28";"Software Engineering";"MPhil";"Agile Development";"Lecturer"
29;"Kashif";"Raza";"kashif.raza@bnu.edu.pk";"Kasraza29$";"Information Systems";"PhD";"Business Intelligence";"Professor"
30;"Lubna";"Khalid";"lubna.khalid@bnu.edu.pk";"Lubkhal30";"Computer Science";"PhD";"Natural Language Processing";"Professor"
